"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"206","Teddy Bridgewater",2021,0.722400457566092,0.144578081033524,73.5,472,0.749928209348584,0.0699085120773123,71.48,2549
"207","Ben Roethlisberger",2011,0.719964381017954,0.121520178771363,75.5,613,0.886365529875877,0.120526478223328,77.5866666666667,9818
"208","Carson Palmer",2006,0.717175285349819,0.126664760109732,74.8,562,0.758334163013797,0.0784400592694364,71.2272727272727,6249
"209","Jimmy Garoppolo",2020,0.714324818551495,0.201381308141348,67.5,155,0.877852508238257,0.158602722551156,73.1666666666667,2414
"210","Carson Palmer",2014,0.713240687017602,0.152001999019345,72.1,238,0.758334163013797,0.0784400592694364,71.2272727272727,6249
"211","Matthew Stafford",2013,0.711756224137212,0.0664466546351323,80.1,668,0.82311958418657,0.085109677812881,75.2,9152
"212","Kirk Cousins",2022,0.71131837370394,0.0745369922410945,79.3,740,0.835772233738767,0.0918870515277808,75.5818181818182,6184
"213","Jay Cutler",2013,0.704813349356248,0.0409294206880385,82,387,0.58355064863247,0.0189304380850857,66.825,5853
"214","Kurt Warner",2007,0.703192524363705,0.0132916836214571,84.5,474,0.731006775180822,0.0862313014413596,68.775,2129
"215","Tony Romo",2013,0.702904790686312,0.0837315187786394,77.8,579,0.9019842635939,0.142482734941751,77.2777777777778,5164
"216","Russell Wilson",2017,0.702043755894192,0.0725113223102313,78.8,655,0.922127540654702,0.121056387871782,81.8416666666667,7996
"217","Joe Flacco",2009,0.701144973933559,0.0749736771775049,78.5,597,0.65164265532654,0.0363762722029323,68.8285714285714,8115
"218","Alex Smith",2016,0.699622517226992,0.0853888740464315,77.4,578,0.64627265924861,0.0391445408628827,68.2769230769231,6446
"219","Derek Carr",2021,0.699593384047194,0.0832567930756862,77.6,744,0.762543386571187,0.0519369860631264,73.97,6376
